zip,metro,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
33176,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1770,1960,2410,3110,3650
33177,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2060,2280,2800,3620,4240
33178,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2450,2720,3340,4310,5060
33179,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1650,1830,2250,2910,3410
33180,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2390,2660,3260,4210,4940
33181,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1560,1730,2120,2740,3240
33182,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2340,2590,3180,4110,4820
33183,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1890,2090,2570,3320,3890
33184,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2020,2240,2750,3550,4160
33185,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2560,2840,3490,4510,5280
33186,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2110,2340,2870,3710,4350
33187,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2320,2580,3160,4080,4780
33189,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1620,1790,2200,2840,3330
33190,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1700,1890,2320,3000,3510
33193,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1760,1960,2400,3100,3630
33194,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2480,2750,3380,4370,5120
33196,Miami,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2170,2410,2960,3820,4480
32703,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1520,1610,1820,2310,2750
32709,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1520,1740,2280,2670
32712,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1960,2060,2340,2970,3540
32751,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1750,1850,2100,2670,3180
32757,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1420,1500,1700,2160,2570
32768,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1650,1750,1980,2510,2990
32776,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1490,1570,1780,2260,2690
32789,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1740,1830,2080,2640,3140
32792,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1660,1760,1990,2530,3010
32798,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1480,1680,2130,2570
32801,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1820,1920,2180,2770,3300
32803,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1910,2020,2290,2910,3460
32804,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1710,1810,2050,2600,3100
32805,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1480,1680,2130,2570
32806,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1530,1610,1830,2320,2770
32807,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1480,1560,1770,2250,2680
32808,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1480,1680,2130,2570
32809,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1480,1680,2130,2570
32810,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1580,1670,1890,2400,2860
32811,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1590,1680,1900,2410,2870
32812,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1550,1630,1850,2350,2800
32814,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2360,2490,2820,3580,4260
32817,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1660,1760,1990,2530,3010
32818,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1410,1480,1680,2130,2570
32819,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1880,1980,2250,2860,3400
32820,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2010,2120,2400,3050,3630
32821,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1820,1920,2180,2770,3300
32822,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1630,1720,1950,2480,2950
32824,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1880,1980,2250,2860,3400
32825,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1740,1830,2080,2640,3140
32826,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1510,1600,1810,2300,2740
32827,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2350,2480,2810,3570,4250
32828,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1960,2060,2340,2970,3540
32829,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1980,2090,2370,3010,3580
32831,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1880,1980,2240,2850,3390
32832,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2190,2310,2620,3330,3960
32833,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1430,1510,1710,2170,2590
32835,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1820,1920,2180,2770,3300
32836,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2120,2240,2540,3220,3840
32837,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1910,2020,2290,2910,3460
32839,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1500,1590,1800,2290,2720
34734,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1960,2060,2340,2970,3540
34747,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1910,2020,2290,2910,3460
34760,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1890,1990,2260,2870,3420
34761,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1750,1850,2100,2670,3180
34786,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",2360,2490,2820,3580,4260
34787,Orlando,"Orlando-Kissimmee-Sanford, FL MSA",1890,1990,2260,2870,3420
33034,Miami,"Monroe County, FL",1520,1700,2100,2730,3240
11004,NYC,"Nassau-Suffolk, NY HUD Metro FMR Area",2510,2620,2900,3610,3900
11005,NYC,"Nassau-Suffolk, NY HUD Metro FMR Area",3230,3320,3720,4640,5000
11363,NYC,"Nassau-Suffolk, NY HUD Metro FMR Area",3040,3170,3510,4370,4720
10001,NYC,"New York, NY HUD Metro FMR Area",3310,3460,3830,4770,5150
10002,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10003,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10004,NYC,"New York, NY HUD Metro FMR Area",3230,3320,3720,4640,5000
10005,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10006,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10007,NYC,"New York, NY HUD Metro FMR Area",2980,3110,3440,4290,4630
10009,NYC,"New York, NY HUD Metro FMR Area",2530,2640,2920,3640,3930
10010,NYC,"New York, NY HUD Metro FMR Area",2920,3050,3380,4210,4540
10011,NYC,"New York, NY HUD Metro FMR Area",3560,3710,4110,5120,5530
10012,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10013,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10014,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10016,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10017,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10018,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10019,NYC,"New York, NY HUD Metro FMR Area",2860,2980,3300,4110,4440
10020,NYC,"New York, NY HUD Metro FMR Area",2980,3110,3440,4290,4630
10021,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10022,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10023,NYC,"New York, NY HUD Metro FMR Area",3500,3660,4050,5050,5450
10024,NYC,"New York, NY HUD Metro FMR Area",3590,3750,4150,5170,5580
10025,NYC,"New York, NY HUD Metro FMR Area",2390,2490,2760,3440,3710
10026,NYC,"New York, NY HUD Metro FMR Area",2350,2450,2710,3380,3640
10027,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10028,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10029,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10030,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10031,NYC,"New York, NY HUD Metro FMR Area",2200,2290,2540,3170,3420
10032,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10033,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10034,NYC,"New York, NY HUD Metro FMR Area",2210,2300,2550,3180,3430
10035,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10036,NYC,"New York, NY HUD Metro FMR Area",3250,3400,3760,4690,5060
10037,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10038,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10039,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10040,NYC,"New York, NY HUD Metro FMR Area",2150,2230,2480,3100,3330
10044,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10065,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10069,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10075,NYC,"New York, NY HUD Metro FMR Area",3130,3270,3620,4510,4870
10128,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10280,NYC,"New York, NY HUD Metro FMR Area",3230,3320,3720,4640,5000
10282,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
10301,NYC,"New York, NY HUD Metro FMR Area",2440,2550,2820,3510,3790
10302,NYC,"New York, NY HUD Metro FMR Area",2250,2350,2600,3240,3500
10303,NYC,"New York, NY HUD Metro FMR Area",2400,2500,2770,3450,3720
10304,NYC,"New York, NY HUD Metro FMR Area",2150,2230,2480,3100,3330
10305,NYC,"New York, NY HUD Metro FMR Area",2150,2240,2480,3100,3330
10306,NYC,"New York, NY HUD Metro FMR Area",2150,2250,2490,3100,3350
10307,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10308,NYC,"New York, NY HUD Metro FMR Area",2430,2540,2810,3500,3780
10309,NYC,"New York, NY HUD Metro FMR Area",2850,2970,3290,4100,4420
10310,NYC,"New York, NY HUD Metro FMR Area",2250,2350,2600,3240,3500
10312,NYC,"New York, NY HUD Metro FMR Area",2260,2360,2610,3250,3510
10314,NYC,"New York, NY HUD Metro FMR Area",2290,2390,2650,3300,3560
10451,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10452,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10453,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10454,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10455,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10456,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10457,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10458,NYC,"New York, NY HUD Metro FMR Area",2150,2250,2490,3100,3350
10459,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10460,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10461,NYC,"New York, NY HUD Metro FMR Area",2420,2530,2800,3490,3760
10462,NYC,"New York, NY HUD Metro FMR Area",2300,2400,2660,3320,3580
10463,NYC,"New York, NY HUD Metro FMR Area",2300,2400,2660,3320,3580
10464,NYC,"New York, NY HUD Metro FMR Area",2320,2420,2680,3340,3600
10465,NYC,"New York, NY HUD Metro FMR Area",2410,2510,2780,3460,3740
10466,NYC,"New York, NY HUD Metro FMR Area",2190,2280,2530,3150,3400
10467,NYC,"New York, NY HUD Metro FMR Area",2210,2300,2550,3180,3430
10468,NYC,"New York, NY HUD Metro FMR Area",2150,2220,2480,3100,3330
10469,NYC,"New York, NY HUD Metro FMR Area",2300,2400,2660,3320,3580
10470,NYC,"New York, NY HUD Metro FMR Area",2150,2240,2480,3100,3330
10471,NYC,"New York, NY HUD Metro FMR Area",2270,2370,2620,3270,3520
10472,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10473,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10474,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
10475,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11004,NYC,"New York, NY HUD Metro FMR Area",2510,2620,2900,3610,3900
11005,NYC,"New York, NY HUD Metro FMR Area",3230,3320,3720,4640,5000
11101,NYC,"New York, NY HUD Metro FMR Area",2920,3050,3380,4210,4540
11102,NYC,"New York, NY HUD Metro FMR Area",3080,3220,3560,4440,4790
11103,NYC,"New York, NY HUD Metro FMR Area",2770,2890,3200,3990,4300
11104,NYC,"New York, NY HUD Metro FMR Area",2620,2740,3030,3780,4070
11105,NYC,"New York, NY HUD Metro FMR Area",2920,3050,3380,4210,4540
11106,NYC,"New York, NY HUD Metro FMR Area",2660,2770,3070,3830,4130
11201,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
11203,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11204,NYC,"New York, NY HUD Metro FMR Area",2210,2300,2550,3180,3430
11205,NYC,"New York, NY HUD Metro FMR Area",2630,2750,3040,3790,4090
11206,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11207,NYC,"New York, NY HUD Metro FMR Area",2150,2240,2480,3100,3330
11208,NYC,"New York, NY HUD Metro FMR Area",2150,2240,2480,3100,3330
11209,NYC,"New York, NY HUD Metro FMR Area",2570,2680,2970,3700,3990
11210,NYC,"New York, NY HUD Metro FMR Area",2280,2380,2630,3280,3540
11211,NYC,"New York, NY HUD Metro FMR Area",2860,2990,3310,4130,4450
11212,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11213,NYC,"New York, NY HUD Metro FMR Area",2220,2310,2560,3190,3440
11214,NYC,"New York, NY HUD Metro FMR Area",2260,2360,2610,3250,3510
11215,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
11216,NYC,"New York, NY HUD Metro FMR Area",2800,2920,3230,4030,4340
11217,NYC,"New York, NY HUD Metro FMR Area",3610,3770,4170,5200,5610
11218,NYC,"New York, NY HUD Metro FMR Area",2560,2670,2960,3690,3980
11219,NYC,"New York, NY HUD Metro FMR Area",2150,2220,2480,3100,3330
11220,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11221,NYC,"New York, NY HUD Metro FMR Area",2470,2570,2850,3550,3830
11222,NYC,"New York, NY HUD Metro FMR Area",3070,3210,3550,4420,4770
11223,NYC,"New York, NY HUD Metro FMR Area",2280,2380,2640,3290,3550
11224,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11225,NYC,"New York, NY HUD Metro FMR Area",2340,2440,2700,3360,3630
11226,NYC,"New York, NY HUD Metro FMR Area",2220,2320,2570,3200,3460
11228,NYC,"New York, NY HUD Metro FMR Area",2240,2340,2590,3230,3480
11229,NYC,"New York, NY HUD Metro FMR Area",2250,2350,2600,3240,3500
11230,NYC,"New York, NY HUD Metro FMR Area",2410,2510,2780,3460,3740
11231,NYC,"New York, NY HUD Metro FMR Area",3430,3580,3960,4940,5320
11232,NYC,"New York, NY HUD Metro FMR Area",2320,2420,2680,3340,3600
11233,NYC,"New York, NY HUD Metro FMR Area",2170,2270,2510,3130,3370
11234,NYC,"New York, NY HUD Metro FMR Area",2310,2410,2670,3330,3590
11235,NYC,"New York, NY HUD Metro FMR Area",2300,2400,2660,3320,3580
11236,NYC,"New York, NY HUD Metro FMR Area",2270,2370,2620,3270,3520
11237,NYC,"New York, NY HUD Metro FMR Area",2300,2400,2660,3320,3580
11238,NYC,"New York, NY HUD Metro FMR Area",3120,3260,3610,4500,4850
11239,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11354,NYC,"New York, NY HUD Metro FMR Area",2380,2480,2750,3430,3700
11355,NYC,"New York, NY HUD Metro FMR Area",2400,2500,2770,3450,3720
11356,NYC,"New York, NY HUD Metro FMR Area",2670,2780,3080,3840,4140
11357,NYC,"New York, NY HUD Metro FMR Area",2760,2880,3190,3980,4290
11358,NYC,"New York, NY HUD Metro FMR Area",2520,2630,2910,3630,3910
11360,NYC,"New York, NY HUD Metro FMR Area",3050,3180,3520,4390,4730
11361,NYC,"New York, NY HUD Metro FMR Area",2840,2960,3280,4090,4410
11362,NYC,"New York, NY HUD Metro FMR Area",3070,3210,3550,4420,4770
11363,NYC,"New York, NY HUD Metro FMR Area",3040,3170,3510,4370,4720
11364,NYC,"New York, NY HUD Metro FMR Area",2860,2980,3300,4110,4440
11365,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11366,NYC,"New York, NY HUD Metro FMR Area",2550,2660,2950,3680,3970
11367,NYC,"New York, NY HUD Metro FMR Area",2170,2270,2510,3130,3370
11368,NYC,"New York, NY HUD Metro FMR Area",2480,2590,2870,3580,3860
11369,NYC,"New York, NY HUD Metro FMR Area",2460,2560,2840,3540,3820
11370,NYC,"New York, NY HUD Metro FMR Area",2620,2740,3030,3780,4070
11371,NYC,"New York, NY HUD Metro FMR Area",2470,2570,2850,3550,3830
11372,NYC,"New York, NY HUD Metro FMR Area",2460,2560,2840,3540,3820
11373,NYC,"New York, NY HUD Metro FMR Area",2500,2610,2890,3600,3890
11374,NYC,"New York, NY HUD Metro FMR Area",2910,3030,3360,4190,4520
11375,NYC,"New York, NY HUD Metro FMR Area",2920,3050,3380,4210,4540
11377,NYC,"New York, NY HUD Metro FMR Area",2440,2550,2820,3510,3790
11378,NYC,"New York, NY HUD Metro FMR Area",2480,2590,2870,3580,3860
11379,NYC,"New York, NY HUD Metro FMR Area",2540,2660,2940,3660,3950
11385,NYC,"New York, NY HUD Metro FMR Area",2330,2430,2690,3350,3620
11411,NYC,"New York, NY HUD Metro FMR Area",2150,2250,2490,3100,3350
11412,NYC,"New York, NY HUD Metro FMR Area",2180,2280,2520,3140,3390
11413,NYC,"New York, NY HUD Metro FMR Area",2600,2720,3010,3750,4050
11414,NYC,"New York, NY HUD Metro FMR Area",2530,2640,2920,3640,3930
11415,NYC,"New York, NY HUD Metro FMR Area",2550,2660,2950,3680,3970
11416,NYC,"New York, NY HUD Metro FMR Area",2180,2280,2520,3140,3390
11417,NYC,"New York, NY HUD Metro FMR Area",2450,2560,2830,3530,3810
11418,NYC,"New York, NY HUD Metro FMR Area",2390,2490,2760,3440,3710
11419,NYC,"New York, NY HUD Metro FMR Area",2450,2560,2830,3530,3810
11420,NYC,"New York, NY HUD Metro FMR Area",2590,2700,2990,3730,4020
11421,NYC,"New York, NY HUD Metro FMR Area",2470,2570,2850,3550,3830
11422,NYC,"New York, NY HUD Metro FMR Area",2800,2920,3230,4030,4340
11423,NYC,"New York, NY HUD Metro FMR Area",2150,2230,2480,3100,3330
11426,NYC,"New York, NY HUD Metro FMR Area",2680,2800,3100,3860,4170
11427,NYC,"New York, NY HUD Metro FMR Area",2210,2300,2550,3180,3430
11428,NYC,"New York, NY HUD Metro FMR Area",2270,2370,2620,3270,3520
11429,NYC,"New York, NY HUD Metro FMR Area",2180,2280,2520,3140,3390
11432,NYC,"New York, NY HUD Metro FMR Area",2520,2630,2910,3630,3910
11433,NYC,"New York, NY HUD Metro FMR Area",2150,2220,2480,3100,3330
11434,NYC,"New York, NY HUD Metro FMR Area",2150,2210,2480,3100,3330
11435,NYC,"New York, NY HUD Metro FMR Area",2350,2450,2710,3380,3640
11436,NYC,"New York, NY HUD Metro FMR Area",2580,2690,2980,3710,4010
19102,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2060,2270,2700,3250,3700
19103,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2060,2270,2700,3250,3700
19104,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1260,1380,1650,1990,2260
19106,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2060,2270,2700,3250,3700
19107,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2000,2210,2630,3170,3600
19109,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1300,1440,1710,2060,2340
19111,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1200,1320,1570,1890,2150
19112,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1300,1440,1710,2060,2340
19114,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1320,1450,1730,2080,2370
19115,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1200,1320,1570,1890,2150
19116,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1230,1350,1610,1940,2210
19118,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1770,1960,2330,2810,3190
19119,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1230,1360,1620,1950,2220
19120,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1090,1200,1430,1720,1960
19121,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1200,1320,1570,1890,2150
19122,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1230,1350,1610,1940,2210
19123,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1800,1980,2360,2840,3230
19124,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1070,1170,1400,1690,1920
19125,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1700,1870,2230,2690,3050
19126,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1130,1240,1480,1780,2030
19127,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1790,1970,2350,2830,3220
19128,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1520,1680,2000,2410,2740
19129,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1580,1740,2070,2490,2840
19130,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1900,2090,2490,3000,3410
19131,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1320,1450,1730,2080,2370
19132,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1070,1170,1400,1690,1920
19133,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",990,1090,1300,1570,1780
19134,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",990,1090,1300,1570,1780
19135,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1210,1330,1590,1920,2180
19136,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1100,1220,1450,1750,1990
19137,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1240,1370,1630,1960,2230
19138,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1190,1310,1560,1880,2140
19139,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1100,1220,1450,1750,1990
19140,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1090,1200,1430,1720,1960
19141,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1060,1170,1390,1670,1900
19142,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1120,1230,1470,1770,2010
19143,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1110,1230,1460,1760,2000
19144,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1200,1330,1580,1900,2160
19145,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1360,1500,1790,2160,2450
19146,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1710,1880,2240,2700,3070
19147,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1800,1980,2360,2840,3230
19148,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1390,1540,1830,2200,2510
19149,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1330,1470,1750,2110,2400
19150,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1260,1390,1660,2000,2270
19151,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1080,1190,1420,1710,1950
19152,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1200,1330,1580,1900,2160
19153,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1390,1530,1820,2190,2490
19154,Philly,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1390,1540,1830,2200,2510
94002,SF,"San Francisco, CA HUD Metro FMR Area",2530,3090,3690,4600,4890
94005,SF,"San Francisco, CA HUD Metro FMR Area",2170,2660,3170,3950,4200
94010,SF,"San Francisco, CA HUD Metro FMR Area",2220,2710,3240,4040,4300
94014,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94015,SF,"San Francisco, CA HUD Metro FMR Area",2290,2800,3340,4170,4430
94019,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94025,SF,"San Francisco, CA HUD Metro FMR Area",2560,3130,3740,4660,4960
94027,SF,"San Francisco, CA HUD Metro FMR Area",2490,3050,3640,4540,4830
94028,SF,"San Francisco, CA HUD Metro FMR Area",2550,3050,3600,4550,4880
94030,SF,"San Francisco, CA HUD Metro FMR Area",2790,3410,4070,5080,5400
94044,SF,"San Francisco, CA HUD Metro FMR Area",2270,2770,3310,4130,4390
94060,SF,"San Francisco, CA HUD Metro FMR Area",2570,2980,3650,4500,4960
94061,SF,"San Francisco, CA HUD Metro FMR Area",2340,2860,3410,4250,4520
94062,SF,"San Francisco, CA HUD Metro FMR Area",2340,2860,3410,4250,4520
94063,SF,"San Francisco, CA HUD Metro FMR Area",2240,2730,3260,4070,4320
94065,SF,"San Francisco, CA HUD Metro FMR Area",3100,3810,4540,5560,6040
94066,SF,"San Francisco, CA HUD Metro FMR Area",2190,2670,3190,3980,4230
94070,SF,"San Francisco, CA HUD Metro FMR Area",2430,2970,3550,4430,4710
94080,SF,"San Francisco, CA HUD Metro FMR Area",2130,2610,3110,3880,4120
94102,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94103,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94104,SF,"San Francisco, CA HUD Metro FMR Area",2430,2970,3550,4420,4700
94105,SF,"San Francisco, CA HUD Metro FMR Area",3020,3700,4410,5500,5850
94107,SF,"San Francisco, CA HUD Metro FMR Area",2670,3260,3890,4850,5160
